@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1274,'2020/10/13 09:04:47:397',4,343,120,2
1275,'2020/10/13 09:04:47:430',4,348,119,2
1276,'2020/10/13 09:04:47:463',4,352,118,2
1277,'2020/10/13 09:04:47:497',4,353,116,2
1278,'2020/10/13 09:04:47:530',4,353,113,2
1279,'2020/10/13 09:04:47:564',4,355,104,2
1280,'2020/10/13 09:04:47:596',4,358,97,2
1281,'2020/10/13 09:04:47:630',4,361,91,2
1282,'2020/10/13 09:04:47:664',4,364,85,2
1283,'2020/10/13 09:04:47:697',4,364,79,2
1284,'2020/10/13 09:04:47:730',4,356,76,2
1285,'2020/10/13 09:04:47:763',4,343,75,2
1286,'2020/10/13 09:04:47:797',4,335,77,2
1287,'2020/10/13 09:04:47:830',4,322,105,2
1288,'2020/10/13 09:04:47:863',4,313,153,2
1289,'2020/10/13 09:04:47:897',4,313,220,2
1290,'2020/10/13 09:04:47:930',4,319,257,2
1291,'2020/10/13 09:04:47:965',4,330,297,2
1292,'2020/10/13 09:04:47:997',4,340,336,2
1293,'2020/10/13 09:04:48:030',4,348,369,2
1294,'2020/10/13 09:04:48:063',4,351,379,2
1295,'2020/10/13 09:04:48:097',4,354,388,2
1296,'2020/10/13 09:04:48:130',4,362,395,2
1297,'2020/10/13 09:04:48:164',4,370,397,2
1298,'2020/10/13 09:04:48:196',4,379,389,2
1299,'2020/10/13 09:04:48:230',4,393,369,2
1300,'2020/10/13 09:04:48:263',4,400,356,2
1301,'2020/10/13 09:04:48:297',4,406,312,2
1302,'2020/10/13 09:04:48:330',4,407,245,2
1303,'2020/10/13 09:04:48:363',4,403,226,2
1304,'2020/10/13 09:04:48:397',4,394,222,2
1305,'2020/10/13 09:04:48:430',4,377,223,2
1306,'2020/10/13 09:04:48:464',4,352,240,2
1307,'2020/10/13 09:04:48:497',4,338,257,2
1308,'2020/10/13 09:04:48:530',4,328,294,2
1309,'2020/10/13 09:04:48:564',4,324,327,2
1310,'2020/10/13 09:04:48:597',4,324,349,2
1311,'2020/10/13 09:04:48:630',4,324,366,2
1312,'2020/10/13 09:04:48:664',4,326,383,2
1313,'2020/10/13 09:04:48:697',4,332,394,2
1314,'2020/10/13 09:04:48:730',4,338,396,2
1315,'2020/10/13 09:04:48:763',4,351,400,2
1316,'2020/10/13 09:04:48:797',4,368,402,2
1317,'2020/10/13 09:04:48:830',4,391,402,2
1318,'2020/10/13 09:04:48:863',4,413,402,2
1319,'2020/10/13 09:04:48:897',4,431,398,2
1320,'2020/10/13 09:04:48:930',4,437,392,2
1321,'2020/10/13 09:04:48:964',4,440,388,2
1322,'2020/10/13 09:04:48:998',4,440,385,2
1323,'2020/10/13 09:04:49:030',4,440,385,2
1324,'2020/10/13 09:04:49:063',4,440,385,2
1325,'2020/10/13 09:04:49:097',4,440,385,2
1326,'2020/10/13 09:04:49:130',4,440,385,2
1327,'2020/10/13 09:04:49:164',4,429,403,2
1328,'2020/10/13 09:04:49:197',4,430,415,2
1329,'2020/10/13 09:04:49:230',4,440,443,2
1330,'2020/10/13 09:04:49:263',4,448,458,2
1331,'2020/10/13 09:04:49:297',4,455,463,2
1332,'2020/10/13 09:04:49:330',4,462,462,2
1333,'2020/10/13 09:04:49:363',4,472,453,2
1334,'2020/10/13 09:04:49:397',4,482,442,2
1335,'2020/10/13 09:04:49:430',4,488,409,2
1336,'2020/10/13 09:04:49:464',4,489,319,2
1337,'2020/10/13 09:04:49:497',4,488,242,2
1338,'2020/10/13 09:04:49:530',4,486,205,2
1339,'2020/10/13 09:04:49:563',4,484,183,2
1340,'2020/10/13 09:04:49:597',4,482,164,2
1341,'2020/10/13 09:04:49:630',4,481,149,2
1342,'2020/10/13 09:04:49:664',4,476,140,2
1343,'2020/10/13 09:04:49:697',4,475,138,2
1344,'2020/10/13 09:04:49:730',4,473,138,2
1345,'2020/10/13 09:04:49:763',4,472,138,2
1346,'2020/10/13 09:04:49:797',4,472,138,2
1347,'2020/10/13 09:04:49:830',4,472,138,2
1348,'2020/10/13 09:04:49:863',4,472,138,2
1349,'2020/10/13 09:04:49:897',4,472,138,2
1350,'2020/10/13 09:04:49:930',4,472,138,2
1351,'2020/10/13 09:04:49:964',4,472,138,2
1352,'2020/10/13 09:04:49:997',4,472,138,2
1353,'2020/10/13 09:04:50:030',4,472,138,2
1354,'2020/10/13 09:04:50:063',4,472,138,2
1355,'2020/10/13 09:04:50:097',4,472,138,2
1356,'2020/10/13 09:04:50:130',4,472,138,2
1357,'2020/10/13 09:04:50:164',4,472,138,2
1358,'2020/10/13 09:04:50:197',4,472,142,2
1359,'2020/10/13 09:04:50:230',4,473,158,2
1360,'2020/10/13 09:04:50:263',4,481,174,2
1361,'2020/10/13 09:04:50:297',4,506,209,2
1362,'2020/10/13 09:04:50:330',4,506,209,2
1363,'2020/10/13 09:04:50:364',4,506,209,2
1364,'2020/10/13 09:04:50:397',4,506,209,2
1365,'2020/10/13 09:04:50:430',4,506,209,2
1366,'2020/10/13 09:04:50:465',4,506,209,2
1367,'2020/10/13 09:04:50:498',4,506,209,2
1368,'2020/10/13 09:04:50:530',4,506,209,2
1369,'2020/10/13 09:04:50:564',4,506,209,2
1370,'2020/10/13 09:04:50:597',4,506,209,2
1371,'2020/10/13 09:04:50:630',4,506,209,2
1372,'2020/10/13 09:04:50:664',4,506,209,2
1373,'2020/10/13 09:04:50:697',4,506,209,2
1374,'2020/10/13 09:04:50:730',4,506,209,2
1375,'2020/10/13 09:04:50:764',4,506,209,2
1376,'2020/10/13 09:04:50:797',4,506,209,2
1377,'2020/10/13 09:04:50:831',4,506,209,2
1378,'2020/10/13 09:04:50:863',4,506,209,2
1379,'2020/10/13 09:04:50:897',4,506,209,2
1380,'2020/10/13 09:04:50:930',4,506,209,2
1381,'2020/10/13 09:04:50:964',4,506,209,2
1382,'2020/10/13 09:04:50:997',4,506,209,2
1383,'2020/10/13 09:04:51:030',4,506,209,2
1384,'2020/10/13 09:04:51:063',4,506,209,2
1385,'2020/10/13 09:04:51:097',4,506,209,2
1386,'2020/10/13 09:04:51:130',4,506,209,2
1387,'2020/10/13 09:04:51:164',4,506,209,2
1388,'2020/10/13 09:04:51:197',4,506,209,2
1389,'2020/10/13 09:04:51:230',4,506,209,2
1390,'2020/10/13 09:04:51:263',4,506,209,2
1391,'2020/10/13 09:04:51:298',4,506,209,2
1392,'2020/10/13 09:04:51:330',4,506,209,2
1393,'2020/10/13 09:04:51:364',4,506,209,2
1394,'2020/10/13 09:04:51:397',4,506,209,2
1395,'2020/10/13 09:04:51:430',4,506,209,2
1396,'2020/10/13 09:04:51:464',4,506,209,2
1397,'2020/10/13 09:04:51:497',4,506,209,2
1398,'2020/10/13 09:04:51:530',4,506,209,2
1399,'2020/10/13 09:04:51:565',4,506,209,2
1400,'2020/10/13 09:04:51:597',4,506,209,2
1401,'2020/10/13 09:04:51:631',4,506,209,2
1402,'2020/10/13 09:04:51:664',4,506,209,2
1403,'2020/10/13 09:04:51:697',4,506,209,2
1404,'2020/10/13 09:04:51:730',4,506,209,2
1405,'2020/10/13 09:04:51:765',4,506,209,2
1406,'2020/10/13 09:04:51:797',4,506,209,2
1407,'2020/10/13 09:04:51:830',4,506,209,2
1408,'2020/10/13 09:04:51:864',4,506,209,2
1409,'2020/10/13 09:04:51:897',4,506,209,2
1410,'2020/10/13 09:04:51:930',4,506,209,2
1411,'2020/10/13 09:04:51:964',4,506,209,2
1412,'2020/10/13 09:04:51:997',4,506,209,2
1413,'2020/10/13 09:04:52:031',4,506,209,2
1414,'2020/10/13 09:04:52:063',4,506,209,2
1415,'2020/10/13 09:04:52:097',4,506,209,2
1416,'2020/10/13 09:04:52:131',4,506,209,2
1417,'2020/10/13 09:04:52:164',4,506,209,2
1418,'2020/10/13 09:04:52:198',4,506,209,2
1419,'2020/10/13 09:04:52:230',4,506,209,2
1420,'2020/10/13 09:04:52:263',4,506,209,2
1421,'2020/10/13 09:04:52:298',4,506,209,2
1422,'2020/10/13 09:04:52:330',4,506,209,2
1423,'2020/10/13 09:04:52:364',4,506,209,2
1424,'2020/10/13 09:04:52:401',4,506,209,2
1425,'2020/10/13 09:04:52:435',4,506,209,2
1426,'2020/10/13 09:04:52:467',4,506,209,2
