@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
878,'2020/10/13 09:04:23:129',3,228,454,1
879,'2020/10/13 09:04:23:163',3,229,458,1
880,'2020/10/13 09:04:23:197',3,230,461,1
881,'2020/10/13 09:04:23:229',3,230,463,1
882,'2020/10/13 09:04:23:263',3,230,465,1
883,'2020/10/13 09:04:23:296',3,230,468,1
884,'2020/10/13 09:04:23:329',3,230,470,1
885,'2020/10/13 09:04:23:363',3,231,471,1
886,'2020/10/13 09:04:23:396',3,232,472,1
887,'2020/10/13 09:04:23:429',3,233,472,1
888,'2020/10/13 09:04:23:463',3,235,472,1
889,'2020/10/13 09:04:23:496',3,237,471,1
890,'2020/10/13 09:04:23:530',3,238,470,1
891,'2020/10/13 09:04:23:563',3,240,469,1
892,'2020/10/13 09:04:23:596',3,241,467,1
893,'2020/10/13 09:04:23:629',3,242,465,1
894,'2020/10/13 09:04:23:664',3,242,462,1
895,'2020/10/13 09:04:23:697',3,242,456,1
896,'2020/10/13 09:04:23:729',3,242,451,1
897,'2020/10/13 09:04:23:763',3,241,446,1
898,'2020/10/13 09:04:23:796',3,241,442,1
899,'2020/10/13 09:04:23:829',3,241,439,1
900,'2020/10/13 09:04:23:863',3,241,434,1
901,'2020/10/13 09:04:23:896',3,241,426,1
902,'2020/10/13 09:04:23:929',3,241,418,1
903,'2020/10/13 09:04:23:963',3,241,412,1
904,'2020/10/13 09:04:23:997',3,241,408,1
905,'2020/10/13 09:04:24:029',3,240,400,1
906,'2020/10/13 09:04:24:063',3,240,389,1
907,'2020/10/13 09:04:24:096',3,240,378,1
908,'2020/10/13 09:04:24:129',3,240,370,1
909,'2020/10/13 09:04:24:163',3,238,360,1
910,'2020/10/13 09:04:24:197',3,237,355,1
911,'2020/10/13 09:04:24:230',3,234,347,1
912,'2020/10/13 09:04:24:263',3,233,339,1
913,'2020/10/13 09:04:24:296',3,233,331,1
914,'2020/10/13 09:04:24:331',3,233,322,1
915,'2020/10/13 09:04:24:363',3,234,316,1
916,'2020/10/13 09:04:24:396',3,234,310,1
917,'2020/10/13 09:04:24:429',3,235,304,1
918,'2020/10/13 09:04:24:463',3,235,304,1
919,'2020/10/13 09:04:24:497',3,235,304,1
920,'2020/10/13 09:04:24:529',3,235,304,1
921,'2020/10/13 09:04:24:563',3,235,304,1
922,'2020/10/13 09:04:24:596',3,235,304,1
923,'2020/10/13 09:04:24:630',3,235,304,1
924,'2020/10/13 09:04:24:664',3,235,300,1
925,'2020/10/13 09:04:24:696',3,238,296,1
926,'2020/10/13 09:04:24:729',3,239,294,1
927,'2020/10/13 09:04:24:763',3,241,286,1
928,'2020/10/13 09:04:24:797',3,243,278,1
929,'2020/10/13 09:04:24:830',3,244,273,1
930,'2020/10/13 09:04:24:863',3,244,268,1
931,'2020/10/13 09:04:24:896',3,244,264,1
932,'2020/10/13 09:04:24:929',3,244,262,1
933,'2020/10/13 09:04:24:963',3,244,260,1
934,'2020/10/13 09:04:24:997',3,244,257,1
935,'2020/10/13 09:04:25:029',3,243,252,1
936,'2020/10/13 09:04:25:063',3,242,248,1
937,'2020/10/13 09:04:25:096',3,242,243,1
938,'2020/10/13 09:04:25:129',3,242,240,1
939,'2020/10/13 09:04:25:163',3,242,236,1
940,'2020/10/13 09:04:25:196',3,242,227,1
941,'2020/10/13 09:04:25:229',3,242,220,1
942,'2020/10/13 09:04:25:263',3,242,211,1
943,'2020/10/13 09:04:25:296',3,242,201,1
944,'2020/10/13 09:04:25:330',3,242,187,1
945,'2020/10/13 09:04:25:363',3,242,179,1
946,'2020/10/13 09:04:25:396',3,241,174,1
947,'2020/10/13 09:04:25:429',3,241,174,1
948,'2020/10/13 09:04:25:463',3,241,174,1
949,'2020/10/13 09:04:25:496',3,241,174,1
950,'2020/10/13 09:04:25:529',3,241,174,1
951,'2020/10/13 09:04:25:563',3,241,174,1
952,'2020/10/13 09:04:25:597',3,241,174,1
953,'2020/10/13 09:04:25:630',3,241,167,1
954,'2020/10/13 09:04:25:663',3,242,160,1
955,'2020/10/13 09:04:25:696',3,242,152,1
956,'2020/10/13 09:04:25:729',3,242,146,1
957,'2020/10/13 09:04:25:763',3,242,141,1
958,'2020/10/13 09:04:25:797',3,242,136,1
959,'2020/10/13 09:04:25:829',3,242,128,1
960,'2020/10/13 09:04:25:863',3,242,121,1
961,'2020/10/13 09:04:25:896',3,242,115,1
962,'2020/10/13 09:04:25:930',3,242,111,1
963,'2020/10/13 09:04:25:963',3,242,107,1
964,'2020/10/13 09:04:25:996',3,242,103,1
965,'2020/10/13 09:04:26:029',3,242,100,1
966,'2020/10/13 09:04:26:063',3,242,97,1
967,'2020/10/13 09:04:26:096',3,242,94,1
968,'2020/10/13 09:04:26:131',3,242,93,1
969,'2020/10/13 09:04:26:163',3,242,91,1
970,'2020/10/13 09:04:26:196',3,242,88,1
971,'2020/10/13 09:04:26:229',3,242,85,1
972,'2020/10/13 09:04:26:263',3,242,81,1
973,'2020/10/13 09:04:26:296',3,241,72,1
974,'2020/10/13 09:04:26:329',3,238,64,1
975,'2020/10/13 09:04:26:363',3,235,58,1
976,'2020/10/13 09:04:26:396',3,234,55,1
977,'2020/10/13 09:04:26:429',3,234,53,1
978,'2020/10/13 09:04:26:463',3,234,53,1
979,'2020/10/13 09:04:26:496',3,234,53,1
980,'2020/10/13 09:04:26:529',3,234,53,1
981,'2020/10/13 09:04:26:563',3,234,53,1
982,'2020/10/13 09:04:26:596',3,234,53,1
983,'2020/10/13 09:04:26:629',3,234,53,1
984,'2020/10/13 09:04:26:664',3,234,41,1
985,'2020/10/13 09:04:26:696',3,234,28,1
986,'2020/10/13 09:04:26:730',3,233,18,1
987,'2020/10/13 09:04:26:763',3,231,15,1
988,'2020/10/13 09:04:26:796',3,229,13,1
989,'2020/10/13 09:04:26:829',3,224,11,1
990,'2020/10/13 09:04:26:863',3,206,9,1
991,'2020/10/13 09:04:26:896',3,167,9,1
992,'2020/10/13 09:04:26:930',3,146,9,1
993,'2020/10/13 09:04:26:963',3,117,9,1
994,'2020/10/13 09:04:26:996',3,83,10,1
995,'2020/10/13 09:04:27:029',3,64,12,1
996,'2020/10/13 09:04:27:063',3,48,12,1
997,'2020/10/13 09:04:27:096',3,35,15,1
998,'2020/10/13 09:04:27:130',3,28,16,1
999,'2020/10/13 09:04:27:163',3,27,17,1
1000,'2020/10/13 09:04:27:196',3,26,24,1
1001,'2020/10/13 09:04:27:229',3,26,36,1
1002,'2020/10/13 09:04:27:263',3,27,50,1
1003,'2020/10/13 09:04:27:296',3,38,76,1
1004,'2020/10/13 09:04:27:330',3,51,125,1
1005,'2020/10/13 09:04:27:363',3,56,185,1
1006,'2020/10/13 09:04:27:397',3,56,219,1
1007,'2020/10/13 09:04:27:429',3,52,241,1
1008,'2020/10/13 09:04:27:463',3,52,270,1
1009,'2020/10/13 09:04:27:496',3,55,298,1
1010,'2020/10/13 09:04:27:530',3,60,335,1
1011,'2020/10/13 09:04:27:563',3,61,371,1
1012,'2020/10/13 09:04:27:597',3,62,384,1
1013,'2020/10/13 09:04:27:629',3,64,385,1
1014,'2020/10/13 09:04:27:664',3,67,369,1
1015,'2020/10/13 09:04:27:696',3,89,305,1
1016,'2020/10/13 09:04:27:730',3,112,227,1
1017,'2020/10/13 09:04:27:763',3,122,180,1
1018,'2020/10/13 09:04:27:796',3,128,152,1
1019,'2020/10/13 09:04:27:829',3,133,141,1
1020,'2020/10/13 09:04:27:863',3,135,137,1
1021,'2020/10/13 09:04:27:897',3,136,138,1
1022,'2020/10/13 09:04:27:930',3,130,155,1
1023,'2020/10/13 09:04:27:963',3,119,206,1
1024,'2020/10/13 09:04:27:996',3,109,263,1
1025,'2020/10/13 09:04:28:029',3,101,302,1
1026,'2020/10/13 09:04:28:063',3,97,332,1
1027,'2020/10/13 09:04:28:096',3,95,344,1
1028,'2020/10/13 09:04:28:130',3,92,335,1
1029,'2020/10/13 09:04:28:163',3,87,302,1
1030,'2020/10/13 09:04:28:197',3,79,260,1
1031,'2020/10/13 09:04:28:230',3,70,219,1
1032,'2020/10/13 09:04:28:263',3,67,185,1
1033,'2020/10/13 09:04:28:296',3,63,170,1
1034,'2020/10/13 09:04:28:330',3,61,163,1
1035,'2020/10/13 09:04:28:363',3,57,166,1
1036,'2020/10/13 09:04:28:396',3,53,191,1
1037,'2020/10/13 09:04:28:429',3,45,266,1
1038,'2020/10/13 09:04:28:463',3,42,298,1
1039,'2020/10/13 09:04:28:496',3,39,317,1
1040,'2020/10/13 09:04:28:530',3,37,326,1
1041,'2020/10/13 09:04:28:563',3,37,331,1
1042,'2020/10/13 09:04:28:596',3,41,341,1
1043,'2020/10/13 09:04:28:630',3,46,349,1
1044,'2020/10/13 09:04:28:663',3,52,358,1
1045,'2020/10/13 09:04:28:696',3,56,367,1
1046,'2020/10/13 09:04:28:730',3,57,372,1
1047,'2020/10/13 09:04:28:763',3,56,383,1
1048,'2020/10/13 09:04:28:796',3,56,402,1
1049,'2020/10/13 09:04:28:829',3,56,423,1
1050,'2020/10/13 09:04:28:863',3,56,432,1
1051,'2020/10/13 09:04:28:896',3,56,432,1
1052,'2020/10/13 09:04:28:930',3,56,432,1
1053,'2020/10/13 09:04:28:963',3,56,432,1
1054,'2020/10/13 09:04:28:996',3,56,432,1
1055,'2020/10/13 09:04:29:030',3,56,432,1
1056,'2020/10/13 09:04:29:063',3,44,460,1
1057,'2020/10/13 09:04:29:096',3,38,473,1
1058,'2020/10/13 09:04:29:131',3,38,473,1
1059,'2020/10/13 09:04:29:163',3,38,473,1
1060,'2020/10/13 09:04:29:197',3,38,473,1
1061,'2020/10/13 09:04:29:230',3,38,473,1
1062,'2020/10/13 09:04:29:264',3,38,473,1
1063,'2020/10/13 09:04:29:296',3,38,473,1
1064,'2020/10/13 09:04:29:330',3,38,473,1
1065,'2020/10/13 09:04:29:363',3,38,473,1
1066,'2020/10/13 09:04:29:396',3,38,473,1
1067,'2020/10/13 09:04:29:429',3,38,473,1
1068,'2020/10/13 09:04:29:463',3,38,473,1
1069,'2020/10/13 09:04:29:496',3,38,473,1
1070,'2020/10/13 09:04:29:532',3,38,473,1
1071,'2020/10/13 09:04:29:565',3,38,473,1
1072,'2020/10/13 09:04:29:597',3,38,473,1
1073,'2020/10/13 09:04:29:630',3,38,473,1
1074,'2020/10/13 09:04:29:664',3,38,473,1
1075,'2020/10/13 09:04:29:697',3,38,473,1
1076,'2020/10/13 09:04:29:732',3,38,473,1
1077,'2020/10/13 09:04:29:764',3,38,473,1
1078,'2020/10/13 09:04:29:797',3,38,473,1
1079,'2020/10/13 09:04:29:830',3,38,473,1
1080,'2020/10/13 09:04:29:863',3,38,473,1
1081,'2020/10/13 09:04:29:896',3,38,473,1
1082,'2020/10/13 09:04:29:930',3,38,473,1
1083,'2020/10/13 09:04:29:963',3,38,473,1
1084,'2020/10/13 09:04:29:997',3,38,473,1
1085,'2020/10/13 09:04:30:030',3,38,473,1
1086,'2020/10/13 09:04:30:063',3,38,473,1
1087,'2020/10/13 09:04:30:096',3,38,473,1
1088,'2020/10/13 09:04:30:130',3,38,473,1
1089,'2020/10/13 09:04:30:163',3,38,473,1
1090,'2020/10/13 09:04:30:197',3,38,473,1
1091,'2020/10/13 09:04:30:231',3,38,473,1
1092,'2020/10/13 09:04:30:263',3,38,473,1
1093,'2020/10/13 09:04:30:296',3,38,473,1
1094,'2020/10/13 09:04:30:330',3,38,473,1
1095,'2020/10/13 09:04:30:363',3,38,473,1
1096,'2020/10/13 09:04:30:397',3,38,473,1
1097,'2020/10/13 09:04:30:433',3,38,473,1
1098,'2020/10/13 09:04:30:467',3,38,473,1
1099,'2020/10/13 09:04:30:501',3,38,473,1
1100,'2020/10/13 09:04:41:597',4,335,474,2
1101,'2020/10/13 09:04:41:631',4,335,474,2
1102,'2020/10/13 09:04:41:664',4,335,474,2
1103,'2020/10/13 09:04:41:697',4,335,474,2
1104,'2020/10/13 09:04:41:731',4,335,474,2
1105,'2020/10/13 09:04:41:764',4,335,474,2
1106,'2020/10/13 09:04:41:797',4,335,474,2
1107,'2020/10/13 09:04:41:830',4,335,474,2
1108,'2020/10/13 09:04:41:863',4,335,474,2
1109,'2020/10/13 09:04:41:897',4,335,474,2
1110,'2020/10/13 09:04:41:930',4,335,474,2
1111,'2020/10/13 09:04:41:964',4,335,474,2
1112,'2020/10/13 09:04:41:997',4,335,474,2
1113,'2020/10/13 09:04:42:030',4,335,474,2
1114,'2020/10/13 09:04:42:064',4,335,474,2
1115,'2020/10/13 09:04:42:097',4,335,474,2
1116,'2020/10/13 09:04:42:131',4,335,474,2
1117,'2020/10/13 09:04:42:164',4,335,474,2
1118,'2020/10/13 09:04:42:197',4,335,474,2
1119,'2020/10/13 09:04:42:231',4,335,474,2
1120,'2020/10/13 09:04:42:264',4,335,474,2
1121,'2020/10/13 09:04:42:297',4,335,474,2
1122,'2020/10/13 09:04:42:331',4,335,474,2
1123,'2020/10/13 09:04:42:363',4,335,474,2
1124,'2020/10/13 09:04:42:398',4,335,474,2
1125,'2020/10/13 09:04:42:430',4,335,474,2
1126,'2020/10/13 09:04:42:464',4,335,474,2
1127,'2020/10/13 09:04:42:497',4,335,474,2
1128,'2020/10/13 09:04:42:531',4,335,474,2
1129,'2020/10/13 09:04:42:564',4,335,474,2
1130,'2020/10/13 09:04:42:600',4,335,474,2
1131,'2020/10/13 09:04:42:633',4,335,474,2
1132,'2020/10/13 09:04:42:665',4,335,474,2
1133,'2020/10/13 09:04:42:698',4,335,474,2
1134,'2020/10/13 09:04:42:730',4,335,474,2
1135,'2020/10/13 09:04:42:763',4,335,474,2
1136,'2020/10/13 09:04:42:797',4,335,474,2
1137,'2020/10/13 09:04:42:830',4,335,474,2
1138,'2020/10/13 09:04:42:864',4,335,474,2
1139,'2020/10/13 09:04:42:897',4,335,474,2
1140,'2020/10/13 09:04:42:930',4,335,474,2
1141,'2020/10/13 09:04:42:963',4,331,464,2
1142,'2020/10/13 09:04:42:997',4,332,465,2
1143,'2020/10/13 09:04:43:030',4,333,469,2
1144,'2020/10/13 09:04:43:063',4,334,474,2
1145,'2020/10/13 09:04:43:096',4,334,478,2
1146,'2020/10/13 09:04:43:130',4,334,478,2
1147,'2020/10/13 09:04:43:163',4,333,478,2
1148,'2020/10/13 09:04:43:197',4,331,478,2
1149,'2020/10/13 09:04:43:230',4,329,477,2
1150,'2020/10/13 09:04:43:263',4,327,477,2
1151,'2020/10/13 09:04:43:296',4,324,477,2
1152,'2020/10/13 09:04:43:330',4,319,475,2
1153,'2020/10/13 09:04:43:363',4,316,473,2
1154,'2020/10/13 09:04:43:397',4,309,471,2
1155,'2020/10/13 09:04:43:430',4,302,470,2
1156,'2020/10/13 09:04:43:464',4,296,469,2
1157,'2020/10/13 09:04:43:498',4,291,467,2
1158,'2020/10/13 09:04:43:530',4,288,466,2
1159,'2020/10/13 09:04:43:564',4,286,466,2
1160,'2020/10/13 09:04:43:597',4,283,466,2
1161,'2020/10/13 09:04:43:630',4,281,466,2
1162,'2020/10/13 09:04:43:664',4,280,466,2
1163,'2020/10/13 09:04:43:697',4,278,466,2
1164,'2020/10/13 09:04:43:730',4,276,467,2
1165,'2020/10/13 09:04:43:763',4,275,468,2
1166,'2020/10/13 09:04:43:797',4,273,469,2
1167,'2020/10/13 09:04:43:830',4,272,470,2
1168,'2020/10/13 09:04:43:864',4,272,470,2
1169,'2020/10/13 09:04:43:898',4,271,471,2
1170,'2020/10/13 09:04:43:930',4,270,471,2
1171,'2020/10/13 09:04:43:963',4,269,472,2
1172,'2020/10/13 09:04:43:997',4,269,472,2
1173,'2020/10/13 09:04:44:030',4,267,472,2
1174,'2020/10/13 09:04:44:063',4,266,470,2
1175,'2020/10/13 09:04:44:096',4,264,463,2
1176,'2020/10/13 09:04:44:130',4,263,458,2
1177,'2020/10/13 09:04:44:163',4,263,453,2
1178,'2020/10/13 09:04:44:197',4,262,448,2
1179,'2020/10/13 09:04:44:231',4,262,440,2
1180,'2020/10/13 09:04:44:263',4,262,435,2
1181,'2020/10/13 09:04:44:297',4,262,431,2
1182,'2020/10/13 09:04:44:330',4,262,423,2
1183,'2020/10/13 09:04:44:364',4,262,415,2
1184,'2020/10/13 09:04:44:396',4,262,404,2
1185,'2020/10/13 09:04:44:430',4,262,394,2
1186,'2020/10/13 09:04:44:463',4,262,381,2
1187,'2020/10/13 09:04:44:498',4,262,367,2
1188,'2020/10/13 09:04:44:530',4,262,351,2
1189,'2020/10/13 09:04:44:563',4,262,341,2
1190,'2020/10/13 09:04:44:597',4,262,337,2
1191,'2020/10/13 09:04:44:630',4,262,337,2
1192,'2020/10/13 09:04:44:664',4,262,337,2
1193,'2020/10/13 09:04:44:698',4,262,337,2
1194,'2020/10/13 09:04:44:730',4,262,337,2
1195,'2020/10/13 09:04:44:763',4,262,337,2
1196,'2020/10/13 09:04:44:797',4,262,335,2
1197,'2020/10/13 09:04:44:830',4,261,322,2
1198,'2020/10/13 09:04:44:864',4,257,300,2
1199,'2020/10/13 09:04:44:896',4,253,279,2
1200,'2020/10/13 09:04:44:930',4,252,272,2
1201,'2020/10/13 09:04:44:963',4,251,268,2
1202,'2020/10/13 09:04:44:997',4,250,262,2
1203,'2020/10/13 09:04:45:030',4,250,256,2
1204,'2020/10/13 09:04:45:063',4,250,251,2
1205,'2020/10/13 09:04:45:097',4,249,246,2
1206,'2020/10/13 09:04:45:130',4,249,237,2
1207,'2020/10/13 09:04:45:164',4,249,228,2
1208,'2020/10/13 09:04:45:197',4,249,217,2
1209,'2020/10/13 09:04:45:230',4,249,210,2
1210,'2020/10/13 09:04:45:263',4,249,202,2
1211,'2020/10/13 09:04:45:297',4,249,195,2
1212,'2020/10/13 09:04:45:330',4,250,191,2
1213,'2020/10/13 09:04:45:363',4,250,189,2
1214,'2020/10/13 09:04:45:397',4,250,187,2
1215,'2020/10/13 09:04:45:430',4,250,185,2
1216,'2020/10/13 09:04:45:464',4,250,181,2
1217,'2020/10/13 09:04:45:497',4,250,178,2
1218,'2020/10/13 09:04:45:530',4,251,177,2
1219,'2020/10/13 09:04:45:563',4,251,177,2
1220,'2020/10/13 09:04:45:597',4,251,177,2
1221,'2020/10/13 09:04:45:630',4,251,177,2
1222,'2020/10/13 09:04:45:664',4,251,177,2
1223,'2020/10/13 09:04:45:698',4,251,177,2
1224,'2020/10/13 09:04:45:730',4,251,171,2
1225,'2020/10/13 09:04:45:763',4,252,164,2
1226,'2020/10/13 09:04:45:797',4,253,150,2
1227,'2020/10/13 09:04:45:830',4,253,142,2
1228,'2020/10/13 09:04:45:863',4,253,132,2
1229,'2020/10/13 09:04:45:896',4,253,125,2
1230,'2020/10/13 09:04:45:930',4,254,118,2
1231,'2020/10/13 09:04:45:964',4,255,114,2
1232,'2020/10/13 09:04:45:997',4,255,110,2
1233,'2020/10/13 09:04:46:030',4,255,107,2
1234,'2020/10/13 09:04:46:063',4,256,100,2
1235,'2020/10/13 09:04:46:096',4,257,95,2
1236,'2020/10/13 09:04:46:130',4,258,89,2
1237,'2020/10/13 09:04:46:163',4,259,81,2
1238,'2020/10/13 09:04:46:196',4,261,73,2
1239,'2020/10/13 09:04:46:230',4,261,65,2
1240,'2020/10/13 09:04:46:263',4,262,58,2
1241,'2020/10/13 09:04:46:298',4,264,52,2
1242,'2020/10/13 09:04:46:331',4,266,47,2
1243,'2020/10/13 09:04:46:363',4,271,41,2
1244,'2020/10/13 09:04:46:397',4,280,34,2
1245,'2020/10/13 09:04:46:430',4,285,29,2
1246,'2020/10/13 09:04:46:464',4,289,26,2
1247,'2020/10/13 09:04:46:497',4,299,25,2
1248,'2020/10/13 09:04:46:530',4,310,24,2
1249,'2020/10/13 09:04:46:563',4,325,21,2
1250,'2020/10/13 09:04:46:597',4,356,20,2
1251,'2020/10/13 09:04:46:630',4,387,26,2
1252,'2020/10/13 09:04:46:664',4,408,35,2
1253,'2020/10/13 09:04:46:698',4,419,43,2
1254,'2020/10/13 09:04:46:730',4,432,46,2
1255,'2020/10/13 09:04:46:763',4,450,46,2
1256,'2020/10/13 09:04:46:797',4,460,44,2
1257,'2020/10/13 09:04:46:830',4,469,44,2
1258,'2020/10/13 09:04:46:863',4,477,56,2
1259,'2020/10/13 09:04:46:896',4,479,74,2
1260,'2020/10/13 09:04:46:930',4,479,87,2
1261,'2020/10/13 09:04:46:963',4,476,94,2
